name,train_r2,test_r2,test_rmse,test_mae,cv_r2_mean,cv_r2_std,best_params
LinearRegression,0.8326519254656197,0.8647629647538007,5.035357901391491,1.8185156513399805,0.8373861583447937,0.1318430825433388,{}
RandomForest,0.9080889355233285,0.871776488953691,4.903050386147445,1.9457086518236335,0.8406491091454459,0.11357321390535041,"{'model__max_depth': 10, 'model__min_samples_leaf': 3, 'model__n_estimators': 400}"
GradientBoosting,0.8950846262824088,0.884395346912861,4.655541274934966,1.942684986050887,0.8320404717203923,0.12044226452100934,"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 200}"
